Given Name;Family Name;Role;ORCID ID;Keywords;H Index;Citations;Organization;Past Institutions;Department Code;Specific Field;Internal
MAURO;PEZZÈ;Full Professor;0000-0001-5193-7379;Software Engineering, Software Testing, Program Analysis, Self-Healing Systems, Symbolic Execution;49.0;12028.0;University of Milano-Bicocca;['Constructing Excellence', 'Kantonsschule Schaffhausen', 'Health Affairs', 'University of Milano-Bicocca', 'Mylan (Switzerland)', 'Fraunhofer Institute for Secure Information Technology', 'Software (Germany)', 'University of Milan', 'University of Washington'];(IINF-05/A);Information Processing Systems;Disco
RAIMONDO;SCHETTINI;Full Professor;0000-0001-7461-1451;color imaging, artificial vision, artificial intelligence, image understanding;52.0;12144.0;University of Milano-Bicocca;['University of Ljubljana', 'University of Milan', 'Polytechnic University of Timişoara', 'York University', 'ETH Zurich', 'Autonomous University of Madrid', 'Istituto Nazionale di Fisica Nucleare, Sezione di Milano Bicocca', 'National Academies of Sciences, Engineering, and Medicine', 'Consorzio Roma Ricerche'];(INFO-01/A);Computer Science;Disco
ALESSANDRA;AGOSTINI;Full Professor;0000-0002-2337-3745;Ubiquitous Computing, Context-Aware Computing, HCI, Collaborative and Participative Learning, CSCW;20.0;1381.0;University of Milano-Bicocca;;(INFO-01/A);Computer Science;Disco
DANIELA;BESOZZI;Associate Professor;0000-0001-5532-3059;Systems Biology, Mathematical modeling, Evolutionary Computation, GPU computing;27.0;2867.0;University of Milano-Bicocca;"['Istituto Nazionale di Fisica Nucleare', ""Ca' Foscari University of Venice"", 'Advanced Computer System (Italy)', 'University of Trieste', 'University of Bergamo', 'University of Milan', 'Istituto di Analisi dei Sistemi ed Informatica Antonio Ruberti', 'Weatherford College', 'Henan Tianguan Group (China)']";(INFO-01/A);Computer Science;Disco
SIMONE;BIANCO;Associate Professor;0000-0002-7070-1545;Computer Vision, Image Processing, Machine Learning, Optimization, Deep Learning;36.0;5785.0;University of Milano-Bicocca;['University of Milan', 'Polytechnic University of Timişoara', 'York University', 'ETH Zurich'];(INFO-01/A);Computer Science;Disco
PIETRO;BRAIONE;Associate Professor;0000-0001-9307-6781;Formal methods, software quality, programming languages, statistical learning;13.0;812.0;University of Milano-Bicocca;['University of Milano-Bicocca', 'University of Milan', 'Politecnico di Milano'];(IINF-05/A);Information Processing Systems;Disco
FEDERICO;CABITZA;Associate Professor;0000-0002-4065-3415;human_ai_interaction, decision_support, human_centered_AI, eXplainable_AI;41.0;6839.0;University of Milano-Bicocca;['Istituti di Ricovero e Cura a Carattere Scientifico', 'Vita-Salute San Raffaele University', 'University of Milan', 'IRCCS Policlinico San Donato'];(INFO-01/A);Computer Science;Disco
MICHELE;CIAVOTTA;Associate Professor;0000-0002-2480-966X;Cloud Computing, Optimization, Big Data, Graph Neural Networks;19.0;1771.0;University of Milano-Bicocca;['Stavros Niarchos Foundation', 'University of Oslo', 'University of Minnesota', 'University of Melbourne', 'Politecnico di Milano', 'University of Applied Sciences and Arts of Southern Switzerland', 'Informa (United Kingdom)', 'Karlsruhe Institute of Technology', 'Microelectronica (Romania)'];(INFO-01/A);Computer Science;Disco
GIANLUIGI;CIOCCA;Associate Professor;0000-0003-2878-2131;Computer Vision, Image Understanding, Pattern Recognition, Video Analysis, Machine Learning;31.0;4588.0;University of Milano-Bicocca;"['University of Milan', 'National Research Council', ""Confederazione Nazionale dell'Artigianato e Della Piccola e Media Impresa"", 'Istituto di Matematica Applicata e Tecnologie Informatiche', 'Consorzio Roma Ricerche']";(INFO-01/A);Computer Science;Disco
FLAVIO;DE PAOLI;Associate Professor;0000-0002-5047-7371;;23.0;1573.0;University of Milano-Bicocca;['BOKU University', 'University of Padua', 'University of Milan', 'Sulzer (Switzerland)', 'Politecnico di Milano', 'Cefriel', 'Hewlett-Packard (United States)', 'University of California System'];(INFO-01/A);Computer Science;Disco
GIANLUCA;DELLA VEDOVA;Associate Professor;0000-0001-5584-3089;Algorithms, Bioinformatics, Computational Biology, Algorithms for Bioinformatics, Data Privacy;22.0;2106.0;University of Milano-Bicocca;['National Institute of Statistics', 'University of Milan'];(INFO-01/A);Computer Science;Disco
GIOVANNI;DENARO;Associate Professor;0000-0001-7251-1510;Software Testing - Software Analysis - Software Engineering;25.0;1868.0;University of Milano-Bicocca;;(INFO-01/A);Computer Science;Disco
ALBERTO;DENNUNZIO;Associate Professor;0000-0003-1420-404X;cellular automata;22.0;1221.0;University of Milano-Bicocca;"['University of Milan', ""Université Côte d'Azur"", ""Laboratoire d'Informatique, Signaux et Systèmes de Sophia Antipolis""]";(INFO-01/A);Computer Science;Disco
CLAUDIO;FERRETTI;Associate Professor;0000-0002-5562-7893;computational models, computer security, open source software;15.0;1286.0;University of Milano-Bicocca;;(INFO-01/A);Computer Science;Disco
ELISABETTA;FERSINI;Associate Professor;0000-0002-8987-100X;Natural Language Processing, Machine Learning;29.0;4648.0;University of Milano-Bicocca;['University of Antwerp', 'Ludwig-Maximilians-Universität München', 'University of Sheffield', 'University of Chicago', 'Universitat Politècnica de València', 'University of Turin', 'University of Milan'];(INFO-01/A);Computer Science;Disco
FRANCESCA;GASPARINI;Associate Professor;0000-0002-6279-6660;multimedia signal processing, affective computing, brain computer interfaces;26.0;2647.0;University of Milano-Bicocca;['Signal Processing (United States)', 'University of Florence', 'University of Ferrara', 'University of Bergamo', 'University of Verona', 'University of Milan', 'Construction Technologies Institute', 'Università Cattolica del Sacro Cuore', 'Inserm'];(INFO-01/A);Computer Science;Disco
ALBERTO;LEPORATI;Associate Professor;0000-0002-8105-4371;Natural Computing - Unconventional Computing - Membrane Computing - Theoretical Computer Science;29.0;2518.0;University of Milano-Bicocca;['University of Milan'];(INFO-01/A);Computer Science;Disco
GUGLIELMO;LULLI;Associate Professor;0000-0001-5600-0331;Operations Research, Deterministic and Stochastic Optimization, Transportation and Logistics;21.0;2059.0;University of Milano-Bicocca;['Alenia Aermacchi', 'Space (Italy)', 'Thales (Italy)', 'University of Milan', 'Sapienza University of Rome', 'University of Padua', 'University of Arizona'];(MATH-06/A);Operations Research;Disco
SARA LUCIA;MANZONI;Associate Professor;0000-0002-6406-536X;Computer Science;19.0;1758.0;University of Milano-Bicocca;;(INFO-01/A);Computer Science;Disco
DANIELA;MICUCCI;Associate Professor;0000-0003-1261-2234;software architecture, self-repair, self-healing, pervasive healthcare, mobile development;15.0;2084.0;University of Milano-Bicocca;['University of Milan'];(IINF-05/A);Information Processing Systems;Disco
PAOLO;NAPOLETANO;Associate Professor;0000-0001-9112-0574;Intelligent Sensors, Computer Vision, Pattern Recognition, Deep Learning, Artificial Intelligence;35.0;5704.0;University of Milano-Bicocca;['Istituto Nazionale di Fisica Nucleare, Sezione di Milano Bicocca', 'University of Milan', 'University of Salerno', 'Sapienza University of Rome', 'Centro di Ricerca in Matematica Pura ed Applicata'];(INFO-01/A);Computer Science;Disco
MATTEO;PALMONARI;Associate Professor;0000-0002-1801-5118;Artificial Intelligence, Semantic Web, Data Integration;25.0;2483.0;University of Milano-Bicocca;['Universität Innsbruck', 'Tekniker', 'Università Cattolica del Sacro Cuore', 'University of Milan', 'University of Illinois at Chicago'];(INFO-01/A);Computer Science;Disco
NYSSEN;PENALOZA;Associate Professor;;;;;University of Milano-Bicocca;;(INFO-01/A);Computer Science;Disco
YURI;PIROLA;Associate Professor;0000-0002-8479-7592;Algorithms, Computer Science, Bioinformatics, Computational Biology;16.0;1818.0;University of Milano-Bicocca;['University of Milan'];(INFO-01/A);Computer Science;Disco
LUCIA;POMELLO;Associate Professor;0000-0001-5651-915X;Formal Methods, Concurrency, Petri Nets;16.0;1401.0;University of Milano-Bicocca;['University of Milano-Bicocca', 'University of Milan', 'Leiden University', 'Cornell University', 'Gestione Sistemi per l’Informatica (Italy)'];(INFO-01/A);Computer Science;Disco
CLAUDIA;RAIBULET;Associate Professor;0000-0002-7194-3159;Nessuna;;;University of Milano-Bicocca;['University of Milano-Bicocca', 'Los Alamitos Medical Center', 'University of Kansas', 'Kiel University', 'George Washington University', 'Cardiff University', 'Arizona State University', 'California State Polytechnic University', 'Lancaster University'];(IINF-05/A);Information Processing Systems;Disco
OLIVIERO;RIGANELLI;Associate Professor;0000-0003-2120-2894;Software Testing, Software Analysis, Software Engineering;15.0;856.0;University of Milano-Bicocca;['University of Milan', 'Università di Camerino', 'Stony Brook University', 'Istituto di Matematica Applicata e Tecnologie Informatiche'];(IINF-05/A);Information Processing Systems;Disco
RAFFAELLA;RIZZI;Associate Professor;0000-0001-9730-7516;bioinformatica, analisi di sequenze biologiche, predizione della struttura genica;15.0;730.0;University of Milano-Bicocca;['University of Milano-Bicocca', 'Etna Biotech (Italy)', 'University of Bologna', 'University of Bari Aldo Moro', 'University of Milan', 'University of Geneva'];(INFO-01/A);Computer Science;Disco
FABIO;SARTORI;Associate Professor;0000-0002-5038-9785;Artificial Intelligence;14.0;660.0;University of Milano-Bicocca;['University of Trento', 'California Department of Pesticide Regulation', 'California Environmental Protection Agency', 'University of Milan', 'University of Vassouras', 'Texas A&M University', 'Intelligent Systems Research (United States)', 'Disco (Germany)', 'University of Georgia'];(INFO-01/A);Computer Science;Disco
DOMENICO G.;SORRENTI;Associate Professor;0000-0002-4734-7330;Autonomous Driving, Machine Perception, Robot Vision, Computer Vision, Robotics;20.0;1538.0;University of Milano-Bicocca;['Istituto Nazionale di Fisica Nucleare, Sezione di Milano Bicocca', 'University of Milan', 'University of Pisa', 'Politecnico di Milano', 'Sapienza University of Rome', 'Parallel Consulting (United States)'];(IINF-05/A);Information Processing Systems;Disco
FABIO ANTONIO;STELLA;Associate Professor;0000-0002-1394-0507;Data Science, Artificial Intelligence, Machine Learning, Bayesian networks, Causal networks;21.0;2119.0;University of Milano-Bicocca;;(MATH-06/A);Operations Research;Disco
MARCO;VIVIANI;Associate Professor;0000-0002-2274-9050;Social Computing, Natural Language Processing, Information Retrieval, Misinformation, Privacy;24.0;1829.0;University of Milano-Bicocca;['IT University of Copenhagen', 'Tokyo Institute of Technology', 'Administration for Community Living', 'Pew Research Center', 'American Jewish Committee', 'University of Milan', 'John Wiley & Sons (United States)', 'Intelligent Systems Research (United States)', 'University of Insubria'];(INFO-01/A);Computer Science;Disco
GIUSEPPE;VIZZARI;Associate Professor;0000-0002-7916-6438;Artificial Intelligence, Multi-Agent Systems, pedestrian simulation, crowd simulation;34.0;3864.0;University of Milano-Bicocca;['University of Milan', 'Centre for Artificial Intelligence and Robotics', 'Intelligent Systems Research (United States)'];(INFO-01/A);Computer Science;Disco
CLAUDIO;ZANDRON;Associate Professor;0000-0002-2163-7639;Natural Computing, Membrane Computing, Theoretical Computer Science;27.0;4799.0;University of Milano-Bicocca;['University of Milan'];(INFO-01/A);Computer Science;Disco
ITALO;ZOPPIS;Associate Professor;0000-0001-7312-7123;;18.0;1080.0;University of Milano-Bicocca;['University of Milan', 'Precision Research Institute'];(INFO-01/A);Computer Science;Disco
LUCA;BERNARDINELLO;Associate Professor;0000-0002-0639-7593;;14.0;1342.0;University of Milano-Bicocca;"['University of Milano-Bicocca', 'University of Milan', 'Hamilton Health Sciences', 'Institut de Recherche en Informatique et Systèmes Aléatoires', 'Générale-Beaulieu Clinic', 'Utrecht University', 'Roche (France)', 'Centre National de la Recherche Scientifique', ""Laboratoire d'Analyse et d'Architecture des Systèmes"", 'Cornell University']";(INFO-01/A);Computer Science;Disco
MATTEO;DOMINONI;Researcher;0000-0001-8481-6311;;8.0;2252.0;University of Milano-Bicocca;['University of Milano-Bicocca', 'University of Milan'];(IINF-05/A);Information Processing Systems;Disco
GUIDO;FIORINO;Researcher;0000-0002-0556-0723;Computational logic;10.0;333.0;University of Milano-Bicocca;['University of Milano-Bicocca', 'University of Milan', 'University of Insubria'];(INFO-01/A);Computer Science;Disco
DANIELA;BRIOLA;Researcher;0000-0003-1994-8929;Multiagent systems, Multi agent systems, Software Engineering, Virtual Reality, Crowd Simulation;12.0;445.0;University of Milano-Bicocca;['University of Genoa', 'Ingegneria dei Sistemi (Italy)'];(INFO-01/A);Computer Science;Disco
MARCO;BUZZELLI;Fixed-term Researcher;0000-0003-1138-3345;computer vision, image processing, machine learning;15.0;977.0;University of Milano-Bicocca;['University of Milan'];(INFO-01/A);Computer Science;Disco
LUIGI;CELONA;Fixed-term Researcher;0000-0002-5925-2646;Visual quality assessment, Computer vision, Deep learning, Machine learning;16.0;2033.0;University of Milano-Bicocca;['Polytechnic University of Timişoara', 'STMicroelectronics (Italy)'];(INFO-01/A);Computer Science;Disco
DAVIDE;CHICCO;Fixed-term Researcher;0000-0001-9655-7142;applied machine learning, bioinformatics, biomedical informatics, Matthews correlation coefficient;27.0;14327.0;University of Milano-Bicocca;['Krembil Research Institute', 'Krembil Foundation', 'University Health Network', 'Princess Margaret Cancer Centre', 'Politecnico di Milano', 'University of California, Irvine', 'Applied Multilayers (United Kingdom)', 'University of Cyprus'];(INFO-01/A);Computer Science;Disco
MARCO;CREMASCHI;Fixed-term Researcher;000-0001-7840-6228;Semantic Web, Table interpretation, Semantic Annotations, Clinical Decision Support System;11.0;342.0;University of Milano-Bicocca;;(INFO-01/A);Computer Science;Disco
ALEX;GRAUDENZI;Fixed-term Researcher;0000-0001-5452-1918;Data Science, AI, Bioinformatics, Cancer Evolution, Complex Systems;22.0;1770.0;University of Milano-Bicocca;"['National Academies of Sciences, Engineering, and Medicine', 'Istituto Nazionale di Fisica Nucleare, Laboratori Acceleratori e Superconduttività Applicata', 'University of Milan', 'Courant Institute of Mathematical Sciences', 'University of California, Los Angeles', 'University of Toronto', ""Ca' Foscari University of Venice""]";(INFO-01/A);Computer Science;Disco
DAVIDE;MARELLI;Fixed-term Researcher;0000-0003-2389-0301;Computer Vision, Computer Graphics, Machine Learning;8.0;308.0;University of Milano-Bicocca;['University of Milano-Bicocca'];(INFO-01/A);Computer Science;Disco
SIMONE;MELZI;Fixed-term Researcher;0000-0003-2790-9591;geometry processing, shape analysis, shape matching;25.0;6491.0;University of Milano-Bicocca;"['Sapienza University of Rome', 'University of Verona', ""Laboratoire d'Informatique de l'École Polytechnique"", 'École Polytechnique', 'Institut Polytechnique de Paris', 'University of Glasgow']";(IINF-05/A);Information Processing Systems;Disco
FRIDA;MILELLA;Fixed-term Researcher;0000-0002-0522-2804;Artificial intelligence, ageing, health services, decision support, interaction design;4.0;125.0;University of Milano-Bicocca;['Istituto Ortopedico Galeazzi', 'Istituti di Ricovero e Cura a Carattere Scientifico', 'University Carlo Cattaneo'];(INFO-01/A);Computer Science;Disco
DANIELE MARIA;PAPETTI;Fixed-term Researcher;0000-0002-3574-6027;Machine Learning, Artificial Intelligence, Particle Swarm Optimization, Evolutionary Algorithm;5.0;62.0;University of Milano-Bicocca;;(INFO-01/A);Computer Science;Disco
GEORGIOS;PEIKOS;Fixed-term Researcher;0000-0002-2862-8209;Information Retrieval, Natural Language Processing, Health Informatics;5.0;62.0;University of Milano-Bicocca;[];(INFO-01/A);Computer Science;Disco
FLAVIO;PICCOLI;Fixed-term Researcher;0009-0007-0604-7677;Industrial Quality Inspection, Image Enhancement, Speaker Recognition, Earth Observation;11.0;679.0;University of Milano-Bicocca;[];(INFO-01/A);Computer Science;Disco
ALESSANDRO;RAGANATO;Fixed-term Researcher;0000-0002-7018-7515;Natural Language Processing, Computational Linguistics, Word Sense Disambiguation, Machine Translation, Lexical Semantics;17.0;2883.0;University of Milano-Bicocca;['University of Milano-Bicocca', 'University of Amsterdam', 'Amsterdam University Medical Centers', 'University of Helsinki', 'University of the Humanities', 'Bar-Ilan University', 'Tel Aviv University', 'Technical University of Darmstadt'];(INFO-01/A);Computer Science;Disco
MARCO;SAVI;Fixed-term Researcher;0000-0002-8193-0597;Software-Defined Networking, Network Function Virtualization, Edge Computing, Network Monitoring, Programmable Data Planes;19.0;1276.0;University of Milano-Bicocca;['Fondazione Bruno Kessler', 'University of Melbourne', 'Universidad de Alcalá', 'Universidad Politécnica de Madrid', 'Center for Research and Telecommunication Experimentation for Networked Communities', 'Politecnico di Milano', 'Consorzio di Bioingegneria e Informatica Medica'];(IINF-05/A);Information Processing Systems;Disco
BLERINA;SPAHIU;Fixed-term Researcher;0000-0002-6958-8215;Knowledge Graph Profiling, KG Integration, Semantic Annotation;9.0;412.0;University of Milano-Bicocca;['University of Milan'];(INFO-01/A);Computer Science;Disco
IONEL EDUARD;STAN;Fixed-term Researcher;0000-0001-9260-102X;Modal Logic, XAI;9.0;218.0;University of Milano-Bicocca;['University of Ferrara', 'University of Parma', 'University of Udine'];(INFO-01/A);Computer Science;Disco
SIMONE;ZINI;Fixed-term Researcher;0000-0002-8505-1581;Computational Photography, Machine Learning, Computer vision, Image Restoration, Image Enhancement;7.0;258.0;University of Milano-Bicocca;['York University'];(INFO-01/A);Computer Science;Disco
FRANCESCO;ARCHETTI;Fixed-term Researcher;0000-0003-1131-3830;data analytics, computer science, machine learning, network analytics;27.0;2929.0;University of Milano-Bicocca;['Center for Interdisciplinary Studies', 'University of Milan', 'IHE Delft Institute for Water Education', 'Istituto Nazionale di Alta Matematica Francesco Severi', 'United States Nuclear Regulatory Commission'];;SSD not available;Disco
GIULIA ROSEMARY;AVIS;Professor Emeritus;0009-0008-7301-6982;Nessuna;;;University of Milano-Bicocca;;(INF/01);Computer Science;Disco
MIRKO PAOLO;BARBATO;Research Fellow;0000-0002-3967-8957;Computer vision, Remote sensing;3.0;41.0;University of Milano-Bicocca;['Istituto Nazionale di Fisica Nucleare'];(INF/01);Computer Science;Disco
FEDERICO;BELOTTI;Research Fellow;0009-0008-0140-3318;NLP, Semantic Table Interpretation, Interpretability;2.0;18.0;University of Milano-Bicocca;;(INF/01);Computer Science;Disco
RAMDHANE FIRAS;BEN;Research Fellow;0000-0002-3607-3231;Nessuna;;;University of Milano-Bicocca;;(INF/01);Computer Science;Disco
FEDERICO;BERGAMINI;Research Fellow;;;;;University of Milano-Bicocca;;(ING-INF/05);Information Processing Systems;Disco
STEFANIA;BOFFA;Research Fellow;0000-0002-4171-3459;;7.0;141.0;University of Milano-Bicocca;['University of Ostrava', 'University of Insubria', 'University of Salerno'];(INF/01);Computer Science;Disco
LUCA;CELOTTI;Research Fellow;0000-0003-2460-8099;Nessuna;;;University of Milano-Bicocca;['Université de Sherbrooke'];(INF/01);Computer Science;Disco
MATTEO ROBERT;CHILD;Research Fellow;;;;;University of Milano-Bicocca;;(INF/01);Computer Science;Disco
XIAOCHEN;CHOU;Research Fellow;0000-0003-1491-9336;Operations Research, Machine Learning;7.0;163.0;University of Milano-Bicocca;['University of Modena and Reggio Emilia', 'Dalle Molle Institute for Artificial Intelligence Research', 'University of Applied Sciences and Arts of Southern Switzerland', 'Università della Svizzera italiana'];(INF/01);Computer Science;Disco
SIMONE;CICCOLELLA;Research Fellow;0000-0002-6469-4887;;10.0;291.0;University of Milano-Bicocca;['Cornell University'];(INF/01);Computer Science;Disco
ROBERTO;CROTTI;Research Fellow;0000-0003-3009-1874;Nessuna;;;University of Milano-Bicocca;;(INF/01);Computer Science;Disco
SEYED MOJTABA;DARYABARI;Research Fellow;;;;;University of Milano-Bicocca;;(INF/01);Computer Science;Disco
MANUEL;ELIA;Research Fellow;;;;;University of Milano-Bicocca;;(INF/01);Computer Science;Disco
FEDERICA;FILIPPINI;Research Fellow;0000-0002-6549-924X;;6.0;49.0;University of Milano-Bicocca;[];(INF/01);Computer Science;Disco
YOUNAN;GAO;Research Fellow;0000-0003-4984-2551;Data Structures and Algorithms;;;University of Milano-Bicocca;['Dalhousie University'];(INF/01);Computer Science;Disco
ROBERTO;GARRONE;Research Fellow;0009-0005-7060-6774;Nessuna;;;University of Milano-Bicocca;;(INF/01);Computer Science;Disco
ALESSANDRO;GHERARDI;Research Fellow;0000-0002-5347-3851;Computer science, Computer vision, Image analysis, Image processing, mosaicing, skin surface analysis, computer graphics, virtual and augmented reality;;;University of Milano-Bicocca;['University of Bologna', 'Advanced Computer System (Italy)', 'Arcetri Astrophysical Observatory', 'University of Florence'];(INF/01);Computer Science;Disco
ALESSANDRA;GROSSI;Research Fellow;0000-0003-1308-8497;Effective computing, signal analysis, physiological signal, speech emotion recognition;5.0;49.0;University of Milano-Bicocca;[];(INF/01);Computer Science;Disco
LUCA;GUGLIELMO;Research Fellow;0000-0002-5580-3623;;2.0;16.0;University of Milano-Bicocca;;(INF/01);Computer Science;Disco
PRANAV;KASELA;Research Fellow;0000-0003-0972-2424;information retrieval, neural model, deep learning;3.0;38.0;University of Milano-Bicocca;"['Istituto di Scienza e Tecnologie dell\'Informazione ""Alessandro Faedo""', 'Institute of Scientific and Technical Information of China']";(INF/01);Computer Science;Disco
ELSON;KURIAN;Research Fellow;0000-0002-6392-0870;software reliability, software testing;2.0;18.0;University of Milano-Bicocca;['University of Milano-Bicocca'];(INF/01);Computer Science;Disco
GIORGIO;LONGARI;Research Fellow;0000-0002-2086-9091;Nessuna;;;University of Milano-Bicocca;[];(ING-INF/05);Information Processing Systems;Disco
FILIPPO;MAGGIOLI;Research Fellow;0000-0001-8008-8468;Nessuna;;;University of Milano-Bicocca;['Sapienza University of Rome'];(ING-INF/05);Information Processing Systems;Disco
JACOPO;MALTAGLIATI;Research Fellow;;;;;University of Milano-Bicocca;;(INF/01);Computer Science;Disco
LUCA;MARCONI;Research Fellow;0000-0002-0236-6159;Human-Centered AI, Human-AI Interaction, Decision Support, Explainable AI, Complex Systems;2.0;17.0;University of Milano-Bicocca;['Institute of Cognitive Sciences and Technologies', 'National Research Council', 'University of Milano-Bicocca', 'Class Editori (Italy)'];(INF/01);Computer Science;Disco
GIORGIO;MARIANI;Research Fellow;0000-0003-3906-0513;Nessuna;;;University of Milano-Bicocca;;(INF/01);Computer Science;Disco
GIULIAMARIA;MENARA;Research Fellow;0000-0001-7010-2000;Nessuna;;;University of Milano-Bicocca;['University of Trieste'];(INF/01);Computer Science;Disco
GIAN CARLO;MILANESE;Research Fellow;0000-0002-1757-0152;Knowledge Representation;3.0;17.0;University of Milano-Bicocca;[];(INF/01);Computer Science;Disco
SANDIP JAYANTLIAL;MODHA;Research Fellow;;;;;University of Milano-Bicocca;;(INF/01);Computer Science;Disco
SARA;NOCCO;Research Fellow;0009-0000-6086-8213;Nessuna;;;University of Milano-Bicocca;;(INF/01);Computer Science;Disco
MARIA TERESA;ROSSI;Research Fellow;0000-0003-0273-7324;;3.0;59.0;University of Milano-Bicocca;"['Gran Sasso Science Institute', ""Consorzio Interuniversitario Nazionale per l'Informatica"", 'University of Pisa', 'Azienda Ospedaliera Universitaria Pisana', 'Sapienza University of Rome', 'Lindenhofspital']";(ING-INF/05);Information Processing Systems;Disco
AURORA;SAIBENE;Research Fellow;0000-0002-4405-8234;BCI, EEG, Neuroinformatics;9.0;408.0;University of Milano-Bicocca;[];(INF/01);Computer Science;Disco
SEYEDIMAN;SEYEDI;Research Fellow;;;;;University of Milano-Bicocca;;(MAT/09);Operations Research;Disco
EFFROSYNI;SOKLI;Research Fellow;0009-0003-5388-2385;Information Retrieval, Natural Language Processing, Representation Learning;0.0;;University of Milano-Bicocca;;(INF/01);Computer Science;Disco
HOLGADO LUCIA;VICENTE;Research Fellow;0000-0002-6733-6567;Nessuna;;;University of Milano-Bicocca;;(INF/01);Computer Science;Disco
AN QI;ZHAO;Research Fellow;0009-0009-3390-7024;Nessuna;;;University of Milano-Bicocca;;(INF/01);Computer Science;Disco
QURBAN;ALI;Research Fellow;0009-0003-0087-9270;Autonomous Driving Systems (ADS), Software Testing, Machine Learning, Cyber Physical Systems (CPS);;;University of Milano-Bicocca;;;SSD not available;Disco
Giuseppe;Banfi;ASSOCIATE PROFESSOR OF CLINICAL BIOCHEMISTRY AND CLINICAL MOLECULAR BIOLOGY;0000-0001-9578-5338;;;;Vita-Salute San Raffaele University;;;;
Luca;Mariot;Assistant professor;0000-0003-3089-6517;Symmetric Cryptography, Evolutionary Computation, Cellular Automata, Machine Learning, Boolean Functions;17.0;1077.0;University of Twente;;;;
Anshika;Sharma;;0000-0002-8160-0766;;21.0;2173.0;;;;;
